# f0,f1,f2,f3,f4
-4.076057368633527744e-01,-7.493197089866157623e-02,-7.762307126048995434e-03,6.433796960428538048e-02,1.712977443802700048e-02
-3.953967186200614270e-01,-1.122664724910737294e-01,-1.584759531833185645e-02,6.383855168194230156e-02,2.129926680930793736e-02
-5.722747083777222077e-01,-1.742169806025657408e-01,-4.770443215014097751e-03,-1.443351638536418680e-01,3.470150047053834758e-03
5.102095200516879592e-01,4.076798259758174781e-01,1.318809979009302052e-02,1.077801112454037091e-01,1.140883806267794370e-02
2.632319917038682955e-01,-1.546684794612536995e-01,-1.303853181430838538e-02,3.660992252281545112e-03,1.559604546957018591e-02
-2.778021573427892355e-01,-1.171244363292203161e-01,-1.582295793678582807e-02,7.612209296508382073e-02,1.209827037990976288e-02
4.487979594330044897e-01,3.255064788378320140e-02,3.569871571350518181e-03,1.177605753597723015e-01,2.063289576148378060e-02
-5.735308335494062604e-01,-1.819003741259171969e-01,-2.011463832812409973e-03,-3.868206718700378105e-02,-6.661841320637847119e-02
-6.511687554433547298e-01,-2.012300541118219044e-01,-3.344333472146274883e-03,-3.891203261849244810e-01,-1.220346054388130562e-02
-6.799365397940431155e-01,-2.078996349450056846e-01,-7.237627760912062475e-03,-4.007303136436741187e-01,-8.175119299486369173e-02
-6.691764198072763792e-01,-2.000908143843543041e-01,-3.472352547007915256e-03,-4.284613095957428008e-01,-3.070995238080683962e-02
-3.044454047021022958e-01,-3.703547877609935507e-02,-9.871830221203480721e-04,8.011463388853769241e-02,1.681836439263875715e-02
-6.659710672004848231e-01,-2.076871121973891954e-01,-1.882033027922887063e-03,-3.724150055126068670e-01,-7.384104767054452956e-02
-5.837731151039247113e-01,-1.871109373329858383e-01,-4.333642755464097926e-03,-1.026172255039426717e-01,-7.027078522883754841e-02
-1.333397049635476617e-01,-3.141777813576482337e-02,-1.137219580246210185e-02,9.908264845571210233e-02,2.165663359537518470e-02
-6.277642271616502567e-01,-1.968071990175082053e-01,-4.824904950372683847e-03,-2.573429982144699313e-01,-7.519235071866148257e-02
4.780073089155628674e-01,1.118381543345233764e-01,1.271001149373773842e-02,1.831259316083108379e-01,2.139147458444569036e-02
-5.601271157243513654e-01,-1.755056076443537449e-01,-4.319286002688613527e-03,-1.161931517215262499e-01,2.094418376069825255e-02
-5.646210504693488508e-01,-1.769529743138986144e-01,-5.589129239459680355e-03,-1.255869556237834694e-01,1.945379523248050302e-02
-5.576999757082330422e-01,-1.795005264472405437e-01,-2.902182407102600441e-03,-4.886963297415888863e-02,-2.690146630161450655e-02
2.996252228102289639e-01,-7.795521679507373680e-02,-7.787002944269829328e-03,1.179709039838598922e-03,1.377825359310747878e-02
-6.507109116007552263e-01,-2.012091867175280491e-01,-5.227270221837443387e-03,-3.898704090293454994e-01,-1.142062729203416858e-02
5.315397483005455115e-01,4.880744308362392481e-01,1.004639627754158951e-02,1.420761595111994791e-01,2.520960182354684692e-02
5.141638672720495462e-01,3.470269671425614821e-01,9.630462601786576524e-03,1.587718054461370876e-01,2.188554932329879119e-02
-5.451060971375943920e-01,-1.911693525374556779e-01,-3.759883489374829177e-03,6.265671621266619140e-02,-6.019620836838157629e-02
-6.682782944511211909e-01,-2.054206879023189325e-01,-1.110732084275696356e-03,-4.639942558079911961e-01,-1.534248370722707429e-02
-3.009761553390359334e-01,-8.545269882288210328e-02,-1.139510198472805727e-02,7.447073035570213329e-02,1.153269902842012605e-02
-3.235244326810843285e-01,-1.223321914404260774e-01,-1.196541304768175031e-02,7.254329360341728317e-02,1.693182112863553246e-02
3.315344422613995534e-01,-8.601236129059884605e-02,-1.122963099384889987e-02,2.724801490444690288e-03,1.546181396388291752e-02
5.103898142555596262e-01,4.077526409420573761e-01,1.393889742476858359e-02,1.001796547993262787e-01,1.003789590186471466e-02
-6.802729463561724144e-01,-2.064193137565524805e-01,-2.925655169543404151e-03,-4.879032922720165089e-01,-2.715932423903382256e-02
-2.213591003092736376e-01,-9.420310830715721007e-02,-1.020279576012001095e-02,8.447357379318788662e-02,1.151356559293233855e-02
-6.965285351050204410e-01,-2.144611066562964741e-01,-4.642226561113887290e-03,-4.894282602096617918e-01,-6.806570227303922194e-02
-6.202060380952332252e-01,-1.939300682209096627e-01,-4.409833896445434533e-03,-2.445065043580348096e-01,-5.560336586896767047e-02
-5.270565979364392195e-01,-1.807371346660482936e-01,-3.757860102255676602e-03,3.307013258731046623e-02,-2.163768486329160912e-02
4.621242214090722222e-01,1.210532920681980373e-01,1.312300345824240870e-02,1.236296150015843420e-01,2.947054271673749809e-02
-6.663724977253366877e-01,-1.950092707217260246e-01,-1.430921039604982146e-04,-3.913613321405653989e-01,-5.398514789954617782e-02
4.741970673484918741e-01,1.141846303725588957e-01,1.220352448591483993e-02,1.560226916273543818e-01,2.060890485846385983e-02
