# f0,f1,f2,f3,f4
6.258300499652977855e-01,4.018184111628761435e-01,4.918452109518512338e-04,1.719883476459813099e-01,1.576357306608087983e-02
6.189125389734044802e-01,4.000688348857693311e-01,-3.960873747587356991e-04,1.466961616837261229e-01,1.486036743254089826e-02
4.381247567701120893e-01,-1.900138597469322177e-01,-4.493627179135728533e-04,-2.149637117562065367e-02,1.215252886955340769e-02
-4.519335637154472396e-01,-4.937795040563742327e-02,-1.226587477026441688e-03,9.422125737507712484e-02,2.666480956229634255e-02
-6.832345049814739779e-01,-1.079158214476638039e-01,-5.471606764422176552e-04,-1.831070796808791090e-01,-3.002205145613061343e-02
5.431416537951053725e-01,1.433598734205588643e-01,-1.755675292633895792e-04,1.111664155204312027e-01,1.487778185597790105e-02
5.758474509651295703e-01,2.488219694653412140e-01,-1.022238703276343594e-03,1.347367116120540276e-01,1.464983540210823727e-02
-7.483433511094336188e-01,-1.063038313338165591e-01,8.121522022338467607e-04,-3.656499753233953265e-01,-2.482633965356853892e-02
-7.010724538418662277e-01,-1.059401277860240465e-01,3.551553268889620033e-03,-2.499511636299291684e-01,-1.991240743100661237e-02
-7.640017711333484396e-01,-1.085886899681281631e-01,9.650597662994186586e-04,-4.583498944881148618e-01,1.901034815178718335e-02
5.341624433540710370e-01,7.483186794588618518e-02,-1.790806826179505056e-03,1.472544472611412025e-01,1.461131059415720322e-02
5.103673903154640756e-01,-2.411449805926167700e-02,-2.828149239498998178e-03,1.412835137433398891e-01,1.526164640023353058e-02
-2.215511048818962214e-01,-9.399609433266049863e-02,-1.120404373605197101e-03,1.190078878177700944e-01,1.867903527652515702e-02
-7.073700118815895443e-01,-1.064481610944335438e-01,2.619632056705541081e-03,-2.358479251375973640e-01,-4.784103141009381915e-02
